filename,js_floor,spearman_floor,ssim_floor
cassette_player_0001.npz,0.0668295544701502,0.7689795918367346,0.9843164426856987
cassette_player_0002.npz,0.11148424288888788,0.6808163265306123,0.9626588646728375
cassette_player_0003.npz,0.06590853118648936,0.8975510204081633,0.9854446767135772
cassette_player_0004.npz,0.09274872643025714,0.963877551020408,0.9747483790789248
cassette_player_0005.npz,0.08828890905578372,0.9166326530612243,0.9786482493561892
cassette_player_0006.npz,0.11233563398615375,0.6712244897959183,0.9567757222215333
cassette_player_0007.npz,0.05876219916750577,0.966734693877551,0.9922484293829513
cassette_player_0008.npz,0.08306076832469511,0.9707142857142858,0.9889336892936612
cassette_player_0009.npz,0.04935460401693244,0.9441836734693877,0.9916084200400995
cassette_player_0010.npz,0.07656040392327085,0.9505102040816326,0.9856681545733182
cassette_player_0011.npz,0.1129883005470914,0.8826530612244897,0.9621449616100384
cassette_player_0012.npz,0.2969522427913131,0.5044967353553388,0.8276910103958588
cassette_player_0013.npz,0.06783766744693695,0.981734693877551,0.9922555844500792
cassette_player_0014.npz,0.07461953637992638,0.9670408163265306,0.98870121288666
cassette_player_0015.npz,0.15495459267056783,0.8149999999999998,0.9079359130273543
cassette_player_0016.npz,0.1675115007301241,0.8467870271984181,0.9150952499978451
cassette_player_0017.npz,0.10972969366571639,0.4955102040816326,0.9588132472625888
cassette_player_0018.npz,0.06521647170569685,0.9208163265306122,0.985449077380431
cassette_player_0019.npz,0.09479849591510209,0.7674489795918368,0.9713297347683624
cassette_player_0020.npz,0.05863282938457219,0.9652797268377395,0.9897729107201441
cassette_player_0021.npz,0.07448322567348459,0.9080612244897958,0.9834897584548582
cassette_player_0022.npz,0.0725561035830597,0.9676530612244897,0.9871565362782784
cassette_player_0023.npz,0.0487921434990226,0.9763265306122448,0.994299421239148
cassette_player_0024.npz,0.0813460264257982,0.8995918367346938,0.9783755566106063
cassette_player_0025.npz,0.06465644858547602,0.8668367346938776,0.9854892568532315
cassette_player_0026.npz,0.04993064344439127,0.9526530612244897,0.9956468955630741
cassette_player_0027.npz,0.0634057690510405,0.9070408163265306,0.988010631786045
cassette_player_0028.npz,0.05303046077758258,0.9882653061224488,0.9979472352146669
cassette_player_0029.npz,0.06981267492828575,0.8886734693877552,0.9859627446595157
cassette_player_0030.npz,0.07985693080160927,0.8854081632653059,0.978746502249605
cassette_player_0031.npz,0.08260319237087138,0.9246938775510203,0.9781143378356164
cassette_player_0032.npz,0.1160699158849893,0.9248979591836733,0.9671922840640381
cassette_player_0033.npz,0.07824900538217315,0.9558163265306121,0.9828154287763432
