filename,js_floor,spearman_floor,ssim_floor
cassette_player_0001.npz,0.04275962352554711,0.8316326530612244,0.9934789669511629
cassette_player_0002.npz,0.09427316154349683,0.7910204081632652,0.9655782663478121
cassette_player_0003.npz,0.06843983851545064,0.9043877551020407,0.9861113367061319
cassette_player_0004.npz,0.06707316245007124,0.9756122448979591,0.9940116279134313
cassette_player_0005.npz,0.11832761787203677,0.8471428571428571,0.963964739089875
cassette_player_0006.npz,0.06261516437447688,0.9353061224489795,0.9881311462707753
cassette_player_0007.npz,0.08049065787642572,0.9630612244897958,0.9870533256225726
cassette_player_0008.npz,0.14797514427194175,0.9195509110255607,0.9634117045129532
cassette_player_0009.npz,0.12122253765150103,0.6980612244897958,0.9546308414536023
cassette_player_0010.npz,0.040557828646356035,0.9762244897959184,0.9959099615872533
cassette_player_0011.npz,0.0979167630996313,0.9277551020408162,0.9880550279118162
cassette_player_0012.npz,0.23525355314029253,0.8270071321646919,0.9168634726186438
cassette_player_0013.npz,0.08700961994486184,0.9553015663582863,0.9881574400292947
cassette_player_0014.npz,0.11276333931732624,0.92896509491733,0.9822868092066364
cassette_player_0015.npz,0.11527824451299232,0.9082653061224489,0.9731923140530807
cassette_player_0016.npz,0.22315490042753275,0.7570390125622326,0.8875453188696706
cassette_player_0017.npz,0.052465780263614294,0.8478571428571428,0.9902348287291157
cassette_player_0018.npz,0.048606096132455416,0.9851020408163265,0.9936997256674956
cassette_player_0019.npz,0.07613696338916963,0.813877551020408,0.9823803259778209
cassette_player_0020.npz,0.07529867877247885,0.9469119113262651,0.9895013492360288
cassette_player_0021.npz,0.14595959737002243,0.7035714285714285,0.9339213536810925
cassette_player_0022.npz,0.0919402865737673,0.9525753211089697,0.9793154759041232
cassette_player_0023.npz,0.061476153072108256,0.972142857142857,0.9899856483192145
cassette_player_0024.npz,0.06644588177288738,0.9037755102040814,0.9856427142576697
cassette_player_0025.npz,0.07652084325488603,0.938673469387755,0.9870053983504579
cassette_player_0026.npz,0.03495751248152499,0.985816326530612,0.9974960133272025
cassette_player_0027.npz,0.13581128074836243,0.6870408163265305,0.953780433616811
cassette_player_0028.npz,0.068235700947512,0.9785714285714285,0.9909154116379918
cassette_player_0029.npz,0.12277554882133582,0.8488775510204081,0.967262414865221
cassette_player_0030.npz,0.12035116150774568,0.8085714285714285,0.9632691048001514
cassette_player_0031.npz,0.06694872178472334,0.9722448979591836,0.9902763070264177
cassette_player_0032.npz,0.07701017376731355,0.9722448979591836,0.985945350924577
cassette_player_0033.npz,0.06674799694763205,0.9639795918367345,0.9932577325153117
cassette_player_0034.npz,0.07775002463184187,0.9587755102040816,0.9845756459295223
cassette_player_0035.npz,0.0650738258442681,0.9781632653061223,0.9878082557866728
cassette_player_0036.npz,0.3114135386399856,0.5633165348890282,0.82770598695245
cassette_player_0037.npz,0.058225288963200394,0.9570408163265304,0.9901802991970209
cassette_player_0038.npz,0.07008427163364694,0.9037755102040814,0.9812457563564403
cassette_player_0039.npz,0.06846668008492746,0.9379591836734693,0.9849562098344309
cassette_player_0040.npz,0.10224178101592712,0.9816879280628871,0.9773222550878428
cassette_player_0041.npz,0.10580490803862541,0.8578571428571427,0.9714459295567567
cassette_player_0042.npz,0.0676431654114926,0.875204081632653,0.9850881500001818
cassette_player_0043.npz,0.12861400504444082,0.9240112574352268,0.9783718281249368
cassette_player_0044.npz,0.04540387791138236,0.9709183673469386,0.9926671784436973
cassette_player_0045.npz,0.0699739797488976,0.9595918367346937,0.9867456640085678
cassette_player_0046.npz,0.0870116226097617,0.9751915512508225,0.9885707217863487
cassette_player_0047.npz,0.06758595334057685,0.9334693877551019,0.9867617333900006
cassette_player_0048.npz,0.06625230064329908,0.9412244897959182,0.9892805073270746
cassette_player_0049.npz,0.05043661626108295,0.9745918367346937,0.9945119545174312
