filename,js_floor,spearman_floor,ssim_floor
cassette_player_0001.npz,0.07042806658189686,0.8387755102040816,0.9854589865422084
cassette_player_0002.npz,0.06540560279927933,0.8957142857142857,0.9840048085050022
cassette_player_0003.npz,0.06473048248046138,0.9424489795918366,0.9910994684069956
cassette_player_0004.npz,0.11632980535199294,0.9026530612244896,0.9658010732673525
cassette_player_0005.npz,0.22341783611852706,0.42040816326530606,0.8784827339575819
cassette_player_0006.npz,0.0681827612735399,0.9205102040816326,0.9880045337524844
cassette_player_0007.npz,0.06961624371999987,0.9794897959183673,0.9886145953327041
cassette_player_0008.npz,0.10270486718220256,0.9281632653061224,0.9746201685892868
cassette_player_0009.npz,0.09399413226315058,0.7975510204081631,0.9742099357474235
cassette_player_0010.npz,0.0939705308890659,0.9225510204081632,0.9828987800634269
cassette_player_0011.npz,0.21274827077747868,0.8355933376181846,0.9373059756076826
cassette_player_0012.npz,0.15075850453584472,0.9287280820531987,0.9711306663915813
cassette_player_0013.npz,0.08307540984374873,0.9473098995970247,0.9870384157912869
cassette_player_0014.npz,0.1557263474136688,0.9057142857142857,0.9364526428143328
cassette_player_0015.npz,0.13270610855967216,0.9281559391121263,0.982595144025828
cassette_player_0016.npz,0.2673139020173657,0.6807943999681708,0.9149334603487456
cassette_player_0017.npz,0.07541266190025586,0.8793877551020408,0.9814116341688316
cassette_player_0018.npz,0.07765612184597485,0.956734693877551,0.9866187017283469
cassette_player_0019.npz,0.11999739326605016,0.7016326530612245,0.9609094622488179
cassette_player_0020.npz,0.09549934369594358,0.8781632653061224,0.9712945634958352
cassette_player_0021.npz,0.06505023485753146,0.9582653061224488,0.9889073746394699
cassette_player_0022.npz,0.08851235427539887,0.9215306122448979,0.9781805759251189
cassette_player_0023.npz,0.05650613933831995,0.9783673469387755,0.9929088677573839
cassette_player_0024.npz,0.06856584229944077,0.8992857142857141,0.9874298417412205
cassette_player_0025.npz,0.09414966682394761,0.8943877551020407,0.9748271567801216
cassette_player_0026.npz,0.07086965619741954,0.9501020408163264,0.9916534995365505
cassette_player_0027.npz,0.1268950375183296,0.767551020408163,0.9525713786011113
cassette_player_0028.npz,0.08604565279145117,0.9757142857142855,0.9850708913354219
cassette_player_0029.npz,0.10660424401425844,0.8470408163265306,0.9664317727210491
cassette_player_0030.npz,0.15825013885305167,0.6070408163265305,0.9259794382226836
cassette_player_0031.npz,0.07627536684189902,0.950612244897959,0.988245671363752
cassette_player_0032.npz,0.16437726173243258,0.7414285714285713,0.9256491989334988
cassette_player_0033.npz,0.09550558762576408,0.9681632653061224,0.979039674534795
